Adaline Unicapa
0.6333333333333333 0.8466666666666667 1
0.5266666666666666 0.7733333333333333 1
0.30666666666666664 0.5866666666666667 1
0.13333333333333333 0.4266666666666667 1
0.06 0.2733333333333333 1
-0.12666666666666668 -0.013333333333333334 1
-0.24666666666666667 -0.14666666666666667 1
-0.43333333333333335 -0.26 1
-0.5533333333333333 -0.26 1
-0.58 -0.19333333333333333 1
-0.31333333333333335 0.05333333333333334 1
-0.08 0.20666666666666667 1
0.18666666666666668 0.5333333333333333 1
0.25333333333333335 0.7333333333333333 1
0.08666666666666667 0.7533333333333333 1
-0.14 0.56 1
-0.4866666666666667 0.14 1
-0.6133333333333333 0.06666666666666667 1
-0.7933333333333333 -0.006666666666666667 1
-0.9533333333333334 0.2 1
-0.76 0.5266666666666666 1
-0.32 0.7066666666666667 1
-0.18 0.8266666666666667 1
-0.7266666666666667 0.34 1
-0.7866666666666666 0.04666666666666667 1
-0.8466666666666667 -0.26 1
-0.47333333333333333 0.28 1
-0.26666666666666666 0.5066666666666667 1
0.9266666666666666 0.56 -1
0.7 0.3466666666666667 -1
0.3933333333333333 -0.03333333333333333 -1
0.16 -0.22666666666666666 -1
-0.06 -0.36666666666666664 -1
-0.36666666666666664 -0.5733333333333334 -1
-0.4 -0.7066666666666667 -1
-0.12666666666666668 -0.7733333333333333 -1
0.18 -0.8 -1
0.47333333333333333 -0.84 -1
0.7 -0.7 -1
0.8266666666666667 -0.2866666666666667 -1
0.88 0.09333333333333334 -1
0.84 0.20666666666666667 -1
0.5 -0.22666666666666666 -1
0.04666666666666667 -0.5933333333333334 -1
-0.18 -0.6066666666666667 -1
0.4066666666666667 -0.48 -1
0.6533333333333333 -0.5266666666666666 -1
0.72 0.013333333333333334 -1
0.26666666666666666 -0.26 -1
0.11333333333333333 -0.44666666666666666 -1
0.38666666666666666 -0.5933333333333334 -1
