Red Unicapa
0.5 0.7 1
0.10666666666666667 0.66 1
-0.24666666666666667 0.5533333333333333 1
-0.46 0.30666666666666664 1
-0.4866666666666667 -0.05333333333333334 1
-0.6533333333333333 -0.43333333333333335 1
-0.20666666666666667 -0.19333333333333333 1
0.006666666666666667 -0.04 1
0.3466666666666667 0.24666666666666667 1
0.12666666666666668 0.36 1
0.41333333333333333 0.4066666666666667 1
-0.26666666666666666 0.06666666666666667 1
-0.18666666666666668 0.25333333333333335 1
-0.35333333333333333 -0.7933333333333333 0
-0.05333333333333334 -0.5333333333333333 0
0.14 -0.3333333333333333 0
0.30666666666666664 -0.14 0
0.6466666666666666 0.11333333333333333 0
0.8466666666666667 0.22666666666666666 0
0.74 -0.14 0
0.4533333333333333 -0.3466666666666667 0
0.22666666666666666 -0.68 0
0.2866666666666667 -0.8 0
0.6133333333333333 -0.64 0
0.7333333333333333 -0.30666666666666664 0
0.49333333333333335 -0.5333333333333333 0
